,Year,Ceremony,Award,Winner,Name,Film
0,1928,1,Actor in a Leading Role,0,Richard Barthelmess,The Noose
1,1928,1,Actor in a Leading Role,1,Emil Jannings,The Last Command
2,1928,1,Actress in a Leading Role,0,Louise Dresser,A Ship Comes In
3,1928,1,Actress in a Leading Role,1,Janet Gaynor,7th Heaven
4,1928,1,Actress in a Leading Role,0,Gloria Swanson,Sadie Thompson
5,1928,1,Art Direction,0,Rochus Gliese,Sunrise
6,1928,1,Art Direction,1,William Cameron Menzies,The Dove; Tempest
7,1928,1,Art Direction,0,Harry Oliver,7th Heaven
8,1928,1,Cinematography,0,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
9,1928,1,Cinematography,1,Charles Rosher,Sunrise
10,1928,1,Cinematography,1,Karl Struss,Sunrise
11,1928,1,Directing (Comedy Picture),1,Lewis Milestone,Two Arabian Knights
12,1928,1,Directing (Comedy Picture),0,Ted Wilde,Speedy
13,1928,1,Director,1,Frank Borzage,7th Heaven
14,1928,1,Director,0,Herbert Brenon,Sorrell and Son
15,1928,1,Director,0,King Vidor,The Crowd
16,1928,1,Engineering Effects,0,Ralph Hammeras,
17,1928,1,Engineering Effects,1,Roy Pomeroy,Wings
18,1928,1,Engineering Effects,0,Nugent Slaughter,
19,1928,1,Best Picture,0,The Caddo Company,The Racket
20,1928,1,Best Picture,0,Fox,7th Heaven
21,1928,1,Best Picture,1,Paramount Famous Lasky,Wings
22,1928,1,Unique and Artistic Picture,1,Fox,Sunrise
23,1928,1,Unique and Artistic Picture,0,Metro-Goldwyn-Mayer,The Crowd
24,1928,1,Unique and Artistic Picture,0,Paramount Famous Lasky,Chang
25,1928,1,Writing (Adapted Screenplay),0,The Jazz Singer,Alfred Cohn
26,1928,1,Writing (Adapted Screenplay),0,Glorious Betsy,Anthony Coldeway
27,1928,1,Writing (Adapted Screenplay),1,7th Heaven,Benjamin Glazer
28,1928,1,Writing (Original Story),0,Lajos Biro,The Last Command
29,1928,1,Writing (Original Story),1,Ben Hecht,Underworld
30,1928,1,Writing (Title Writing),0,Gerald Duffy,The Private Life of Helen of Troy
31,1928,1,Writing (Title Writing),1,Joseph Farnham,
32,1928,1,Writing (Title Writing),0,"George Marion, Jr.",
